epoch,train_loss,val_loss,train_accuracy,val_accuracy,f1_macro
1,2.6248532818584907,2.4614938992958564,0.17913105413105412,0.2271062271062271,0.16865740814837984
2,2.183775222204565,1.9224229482087223,0.3138990638990639,0.4065934065934066,0.3669599202124519
3,1.8967127792234344,1.7172871414305908,0.40878103378103375,0.46438746438746437,0.4485650989360118
4,1.649612431991391,1.4680293371701347,0.48392348392348394,0.525030525030525,0.5214630641578288
5,1.4292524755485658,1.3155411373303791,0.5544871794871795,0.5864875864875865,0.5697368143402822
6,1.2521252289050964,1.1416121832315822,0.6062271062271062,0.6351241351241351,0.6269183182251625
7,1.0706071520239357,1.0810244876801418,0.663003663003663,0.6646316646316647,0.6559991807106991
8,0.9331598937996035,0.9789548320680639,0.7045177045177046,0.6988196988196989,0.6972044515086845
9,0.8051547415372802,0.9013108782494417,0.7452177452177452,0.7277167277167277,0.7233873797030043
10,0.6833815767997649,0.9053469942790526,0.7825600325600326,0.7360602360602361,0.73439583120187
11,0.5782849063960517,0.8622897597324718,0.8180199430199431,0.7456247456247457,0.7457373805862045
12,0.4753456554034861,0.9466316605084304,0.8503764753764754,0.7452177452177452,0.7383981275068668
13,0.41619210069983953,0.8359797070928386,0.8692511192511192,0.7686202686202687,0.7639970484796088
14,0.34191179406352157,0.813567654236504,0.8926027676027676,0.7828652828652829,0.7793276187968985
15,0.30104161399772494,0.8124545987702259,0.9087301587301587,0.7855107855107855,0.7820081528744557
16,0.272345697146848,0.8606534599085216,0.9135124135124135,0.7836792836792836,0.7811508435256378
17,0.2480762836864082,0.8247585885494189,0.9224155474155474,0.793040293040293,0.7891068726064254
18,0.21608817239057243,0.8457197137692922,0.9332010582010583,0.792022792022792,0.7892183581183263
19,0.211959633721811,0.7863122473685649,0.9351343101343101,0.8011803011803011,0.8026455937197486
20,0.17713074150336225,0.9518010712416001,0.9446988196988197,0.7804232804232805,0.776554493359435
21,0.16425339086359836,0.8308279144103516,0.950091575091575,0.8068783068783069,0.8073552100004106
22,0.1646853956764912,0.8165587311268137,0.9486670736670737,0.8080993080993081,0.8060067614656392
23,0.15170165829633067,0.9083480769928729,0.9532967032967034,0.7897842897842898,0.7891708248042052
24,0.14482210453115102,0.8511778235071759,0.9541107041107041,0.805046805046805,0.8043477306026219
25,0.13558792722434168,0.8258092793562887,0.9576210826210826,0.8072853072853072,0.8059685834575576
26,0.12742718850694051,0.8221081965661402,0.9592999592999593,0.8127798127798128,0.8117145545799305
27,0.12258839020126962,0.8274318509534228,0.9626577126577126,0.8158323158323159,0.8146668472252104
28,0.12033901394428155,0.8951757263770701,0.9624542124542125,0.8066748066748066,0.8045877701083687
29,0.11324688412582244,0.8173000832692627,0.9642857142857143,0.8205128205128205,0.8188359689010682
30,0.11233257250254595,0.8537890047480173,0.9643874643874644,0.8093203093203093,0.8071418449542656
