epoch,train_loss,val_loss,train_accuracy,val_accuracy,f1_macro
1,0.5888331908702366,0.16158669376435883,0.8437627187627188,0.9529914529914529,0.952739940300589
2,0.1191227271562306,0.10205551377908091,0.9652014652014652,0.9706959706959707,0.9706130500099827
3,0.06717381222945888,0.08082537992538766,0.9811253561253561,0.9782254782254782,0.9781891885944755
4,0.050743583997340524,0.0873145152833325,0.9850936100936101,0.977004477004477,0.9770341879172444
5,0.046038245612649416,0.0939390438679943,0.9862637362637363,0.9755799755799756,0.9755873200131682
6,0.04023250509044004,0.09635128071934193,0.9878408628408628,0.974969474969475,0.9749184144044581
7,0.03859440577112335,0.09695021342277668,0.9892144892144892,0.9763939763939764,0.9763381766297757
8,0.025549522883682778,0.08960812258886687,0.9922669922669922,0.9788359788359788,0.9788271655100761
9,0.026191612672864278,0.10146447795253377,0.9924704924704925,0.9743589743589743,0.974341476270507
10,0.027651162261315584,0.0814830767416005,0.9923687423687424,0.977004477004477,0.976983462626225
11,0.02512907850479412,0.08143384205248273,0.9927248677248677,0.9802604802604803,0.9802688339536653
12,0.026560321854244315,0.10006278575250595,0.9922669922669922,0.9768009768009768,0.976759750239981
13,0.023283351367676435,0.08794179656764571,0.9933862433862434,0.9763939763939764,0.9763209570979294
14,0.023218146921750688,0.10167229388664893,0.9927248677248677,0.9768009768009768,0.9767817983758301
15,0.02466229519416858,0.08012476945353453,0.9933862433862434,0.9829059829059829,0.9828954752444572
16,0.01928851040921598,0.0763742272676702,0.9947598697598697,0.9829059829059829,0.9828714309460387
17,0.02128917568841688,0.08678353853762269,0.9933353683353683,0.9794464794464794,0.9793866450185673
18,0.021969600440674024,0.07135425919637758,0.9935897435897436,0.9814814814814815,0.98141343036534
19,0.014727448194493101,0.08863369001976533,0.9953703703703703,0.9794464794464794,0.9794559748376633
20,0.01799996980239743,0.09714580973410672,0.9953194953194954,0.9784289784289785,0.9784150763534333
